Epoch,Train_loss,Train_acc
0,1.2000152170658112,0.615
1,0.5522455369171343,0.8225
2,0.4414961004727765,0.86833334
3,0.37387948483228683,0.8858333
4,0.37094227969646454,0.87416667
5,0.3497222003183867,0.8925
6,0.3042721381705058,0.91083336
7,0.2996788240577045,0.9075
8,0.29696312527123253,0.9058333
9,0.27412447509796994,0.915
10,0.2753995067783092,0.905
11,0.24685477583031906,0.92583334
12,0.2359161767128267,0.92833334
13,0.2578828555384749,0.92
14,0.26918158591970015,0.9216667
15,0.26315328782718433,0.9075
16,0.2453836688869878,0.9116667
17,0.2544928634245145,0.91833335
18,0.2704716423820508,0.9125
19,0.22317525538566865,0.9241667
