Epoch,Train_loss,Train_acc
0,2.0770343479357267,0.5941667
1,0.4481180158296698,0.85583335
2,0.30684808533834784,0.8983333
3,0.2602215005378974,0.9125
4,0.21905963544390702,0.9291667
5,0.20793798497240795,0.93666667
6,0.23286394618059458,0.9225
7,0.1974561723243249,0.93333334
8,0.14133254590591318,0.95166665
9,0.13220190987186997,0.94916666
10,0.137107105815391,0.95666665
11,0.21207289422225012,0.925
12,0.1430392826074048,0.95166665
13,0.10156237330336712,0.9633333
14,0.10023519284042873,0.96166664
15,0.10206259120451777,0.96416664
16,0.08336681759867229,0.9675
17,0.07469910473905896,0.975
18,0.05654936144741154,0.9825
19,0.05320736971732817,0.9825
