Epoch,Train_loss,Train_acc
0,2.5078645144638263,0.56666666
1,0.940961029184492,0.7225
2,0.82757379193055,0.74
3,0.7190575278119037,0.76916665
4,0.603597772356711,0.79833335
5,0.6289074189568821,0.7941667
6,0.5929695430554842,0.7916667
7,0.5089092301694971,0.81416667
8,0.5074087051968825,0.83416665
9,0.7215353148548227,0.7966667
10,0.6562003728590513,0.8
11,0.47807123904165466,0.81916666
12,0.45773394209773915,0.8441667
13,0.44855901873425436,0.8383333
14,0.4583766044754731,0.84833336
15,0.4296329884152663,0.8433333
16,0.4338897937222531,0.84833336
17,0.43302690865177856,0.84833336
18,0.4110020191261643,0.8616667
19,0.39884448169093384,0.8675
