Epoch,Train_loss,Train_acc
0,1.4921704562086808,0.5208333
1,0.9148871067323183,0.705
2,0.8259160550017106,0.73
3,0.7918664342478702,0.74333334
4,0.7492147676254574,0.7525
5,0.7087417480192686,0.7583333
6,0.6994410784620988,0.76916665
7,0.7093533959827925,0.7725
8,0.7052049887807745,0.76
9,0.7024788291830766,0.75916666
10,0.7016343607714302,0.7575
11,0.6551674126010192,0.77666664
12,0.6315711713150928,0.7916667
13,0.6426579544418737,0.785
14,0.6257841461583188,0.79833335
15,0.6239939912369377,0.7941667
16,0.6457357916392779,0.7975
17,0.6291805670449608,0.80083334
18,0.6221941411495209,0.8
19,0.605016689551504,0.8025
