Epoch,Train_loss,Train_acc
0,3.1569977559541402,0.4525
1,0.9376672859254637,0.6675
2,0.82726178984893,0.70916665
3,0.7797542700642034,0.71166664
4,0.7369652468907205,0.7275
5,0.6511780164743725,0.7725
6,0.5807883159110421,0.78583336
7,0.6430828743859341,0.77416664
8,0.6379159343870062,0.7775
9,0.6492974099360014,0.7775
10,0.5395311932814749,0.8025
11,0.5380316855091798,0.81333333
12,0.5272663423889562,0.81
13,0.545150451362133,0.81
14,0.483763923770503,0.8333333
15,0.5096551399481924,0.81583333
16,0.5408492280464423,0.79833335
17,0.47541912762742294,0.825
18,0.47692594520355525,0.83416665
19,0.43956607109621953,0.83166665
