Epoch,Train_loss,Train_acc
0,1.3570125432390916,0.5858333
1,0.7245037477267416,0.7575
2,0.5956163194618727,0.78333336
3,0.5901463823883157,0.80583334
4,0.6681553007740724,0.7725
5,0.5735996953750911,0.79
6,0.5296065352464977,0.81416667
7,0.49769402961981923,0.83666664
8,0.4853361256812748,0.8258333
9,0.5067701476969217,0.8208333
10,0.4739144020958951,0.83416665
11,0.4557026722713521,0.84583336
12,0.42369431845451655,0.8441667
13,0.4221362651962983,0.8475
14,0.43695860552160365,0.8441667
15,0.4588518405431195,0.8325
16,0.4506358531744857,0.8433333
17,0.46339111422237594,0.84166664
18,0.45763104957969564,0.85333335
19,0.36235465070134715,0.885
