Epoch,Train_loss,Train_acc
0,1.223312955153616,0.5516667
1,0.7820541984156558,0.71416664
2,0.663034850829526,0.75333333
3,0.6046953844396692,0.77916664
4,0.639017967801345,0.7658333
5,0.5982303423316855,0.7808333
6,0.5795312614033097,0.7825
7,0.5586148198497923,0.80083334
8,0.5301187932491302,0.80583334
9,0.5419051851096907,0.79833335
10,0.5414654306675258,0.8125
11,0.54681879909415,0.80083334
12,0.5656493384587137,0.8066667
13,0.5526157096028328,0.80083334
14,0.5127763524651527,0.81583333
15,0.49982358828971263,0.825
16,0.531593592543351,0.81083333
17,0.5114113398288426,0.81083333
18,0.4968254605406209,0.81583333
19,0.47919215065868276,0.8258333
