Epoch,Train_loss,Train_acc
0,1.5710014183270304,0.5808333
1,0.7264682376071027,0.75083333
2,0.7419615764366952,0.74083334
3,0.6287659285099882,0.7683333
4,0.6356243749982432,0.77166665
5,0.5311202148073598,0.8
6,0.5222717994137814,0.81166667
7,0.4537225651897882,0.83416665
8,0.46811663437830775,0.82666665
9,0.4945591166615486,0.81
10,0.5038412166269202,0.8175
11,0.42206046416571263,0.8441667
12,0.4291753596381137,0.83416665
13,0.47994005072273704,0.8225
14,0.4838996282533595,0.8308333
15,0.4531838670372963,0.8225
16,0.40070878439827967,0.85333335
17,0.47254412542832525,0.8358333
18,0.43047051582681506,0.8383333
19,0.4304785765707493,0.8325
